Id,Alliance_Training__c
7014P000000vqfBQAQ,TRUE
7014P000000vrtuQAA,TRUE
7014P000000vtkpQAA,TRUE
7014P000000vufpQAA,TRUE
7014P000000vv2eQAA,TRUE
7014P000000vv2tQAA,TRUE
7014P000000vv2uQAA,TRUE
7014P000000vv7tQAA,TRUE
7014P000000vxWqQAI,TRUE
7014P000000vxXKQAY,TRUE
7014P000000vy4TQAQ,TRUE
7014P000000vyDQQAY,TRUE
7014P000001k9dPQAQ,TRUE
7014P000001nyedQAA,TRUE
7014P000001nyg5QAA,TRUE
7014P000001nygAQAQ,TRUE
7014P000001z6uoQAA,TRUE
7014P000001z7j8QAA,TRUE
7014P000001z8QGQAY,TRUE
701Rn000001mdTCIAY,TRUE
701Rn000005T5z9IAC,TRUE
701Rn000005t12FIAQ,TRUE
701Rn00000657obIAA,TRUE
701Rn000006fUQ5IAM,TRUE
701Rn0000074bGJIAY,TRUE
701Rn000009VKWkIAO,TRUE
701Rn000009xa5fIAA,TRUE
701Rn000009xkpfIAA,TRUE
701Rn000009xrr8IAA,TRUE
701Rn000009y7MPIAY,TRUE
701Rn000009zhVtIAI,TRUE
701Rn00000GAZucIAH,TRUE
701Rn00000J9ACbIAN,TRUE
701Rn00000WxZydIAF,TRUE
701Rn00000YjAxWIAV,TRUE
701Rn00000YjN3cIAF,TRUE
701Rn00000dR2dbIAC,TRUE
701Rn00000dWRunIAG,TRUE
701Rn00000dX0xtIAC,TRUE
701Rn00000dlt2gIAA,TRUE
701Rn00000f71FwIAI,TRUE
701Rn00000f8dXdIAI,TRUE
701Rn00000fJCHBIA4,TRUE
701Rn00000fnfYoIAI,TRUE
701Rn00000g9oDWIAY,TRUE
701Rn00000gtNwhIAE,TRUE
701Rn00000gtehUIAQ,TRUE
701Rn00000k9yiVIAQ,TRUE
701Rn00000sQVaXIAW,TRUE
701Rn00000tuJDKIA2,TRUE
701Rn00000v7hIpIAI,TRUE
701Rn00000vGqkzIAC,TRUE
701Rn000010TK9JIAW,TRUE
701Rn000014e5z8IAA,TRUE
701Rn000014eVoiIAE,TRUE
701Rn000014eWo2IAE,TRUE
701Rn000014ebqrIAA,TRUE
701Rn000014ehTFIAY,TRUE
701Rn000014eqGPIAY,TRUE
701Rn000014exRZIAY,TRUE
701Rn000014f1mvIAA,TRUE
701Rn000018biZjIAI,TRUE
701Rn00001E6q8EIAR,TRUE
